Stevenson Memorial Hospital, 200 Fletcher Crescent Alliston ON L9R 1W7
Royal Victoria Regional Health Centre, 201 Georgian Drive Barrie ON L4M 6M2
Brampton Civic Hospital, 2100 Bovaird Drive East Brampton ON L6R 3J7
Etobicoke General Hospital, 101 Humber College Boulevard Etobicoke ON M9V 1R8
Peel Memorial Centre for Integrated Health and Wellness, 20 Lynch Street Brampton ON L6W 2Z8
Reactivation Care Centre – Church, 200 Church Street Toronto ON M9N 1N8
Collingwood General And Marine Hospital, 459 Hume Street Collingwood ON L9Y 1W9
Huntsville District Memorial Hospital, 100 Frank Miller Drive Huntsville ON P1H 1H7
South Muskoka Memorial Hospital, 75 Ann Street Bracebridge ON P1L 2E4
Markham-Stouffville Hospital, 381 Church Street Markham ON L3P 7P3
Uxbridge Hospital, 4 Campbell Drive Uxbridge ON L9P 1S4
Georgian Bay General Hospital, 1112 St. Andrew's Drive Midland ON L4R 4P4
Credit Valley Hospital, 2200 Eglinton Avenue West Mississauga ON L5M 2N1
Mississauga Hospital, 100 Queensway West Mississauga ON L5B 1B8
Queensway Health Centre, 150 Sherway Drive Toronto ON M9C 1A5
Speakman Dialysis Care Centre, 2180 Speakman Drive Mississauga ON L5K 0B1
UHN Reactivation Care Centre, 82 Buttonwood Avenue Toronto ON M6M 2J5
Southlake Health Newmarket Site, 596 Davis Drive Newmarket ON L3Y 2P9
Oakville Trafalgar Memorial Hospital, 3001 Hospital Drive Oakville ON L6M 0L8
Milton District Hospital, 725 Bronte Street South Milton ON L9T 9K1
Georgetown Hospital, 1 Princess Anne Drive Georgetown ON L7G 2B8
Headwaters Health Care Centre, 100 Rolling Hills Drive Orangeville ON L9W 4X9
Orillia Soldiers' Memorial Hospital, 170 Colborne Street West Orillia ON L3V 2Z3
Waypoint Centre for Mental Health Care, 50
\
0 Church Street Penetanguishene ON L9M 1G3
Mackenzie Richmond Hill Hospital, 10 Trench Street Richmond Hill ON L4C 4Z3
Cortellucci Vaughan Hospital, 3200 Major Mackenzie Drive West Vaughan ON L6A 1S1
Glengarry Memorial Hospital, 20260 County Road 43 Alexandria ON K0C 1A0
Almonte General Hospital, 75 Spring Street Almonte ON K0A 1A0
Arnprior And District Memorial Hospital, 350 John Street North Arnprior ON K7S 2P6
St Francis Memorial Hospital, 7 St. Francis Memorial Drive Barry's Bay ON K0J 1B0
Belleville General Hospital, 265 Dundas Street East Belleville ON K8N 5A9
North Hastings Hospital, 1-H Manor Lane Bancroft ON K0L 1C0
Prince Edward County Memorial Hospital, 403 Main Street East Picton ON K0K 2T0
Trenton Memorial Hospital, 242 King Street Trenton ON K8V 3X1
Brockville General Hospital, 75 Charles Street Brockville ON K6V 1S8
Campbellford Memorial Hospital, 146 Oliver Road Campbellford ON K0L 1L0
Carleton Place And District Memorial Hospital, 211 Lake Avenue East Carleton Place ON K7C 1J4
Northumberland Hills Hospital, 1000 DePalma Drive Cobourg ON K9A 5W6
Cornwall Community Hospital, 840 McConnell Avenue Cornwall ON K6H 5S5
Deep River And District Health, 117 Banting Drive Deep River ON K0J 1P0
Hawkesbury And District General Hospital, 1111 Ghislain Street Hawkesbury ON K6A 3G5
Kemptville District Hospital, 2675 Concession Road Kemptville ON K0G 1J0
Hotel Dieu Hospital, 166 Brock Street Kingston ON K7L 5G2
Kingston General Hospital, 76 Stuart Street Kingston ON K7L 2V7
Ross Memorial Hospital, 10 Angeline Street North Lindsay ON K9V 4M8
Lennox And Addington County General Hospital, 8 Richmond Park Drive Napanee ON K7R 2Z4
Lakeridge Health Oshawa Hospital, 1 Hospital Court Oshawa ON L1G 2B9
Bowmanville Hospital, 47 Liberty Street South Bowmanville ON L1C 2N4
Ajax and Pickering Health Centre, 580 Harwood Avenue South Ajax ON L1S 2J4
Port Perry Hospital, 451 Paxton Street Port Perry ON L9L 1L9
Whitby Hospital, 300 Gordon Street Whitby ON L1N 2T5
Queensway-Carleton Hospital, 3045 Baseline Road Ottawa ON K2H 8P4
University of Ottawa Heart Institute, 40 Ruskin Street Ottawa ON K1Y 4W7
Hôpital Montfort, 713 Montreal Road Ottawa ON K1K 0T2
The Ottawa Hospital Civic Campus, 1053 Carling Avenue Ottawa ON K1Y 4E9
The Ottawa Hospital General Campus, 501 Smyth Road Ottawa ON K1H 8L6
The Ottawa Hospital Riverside Campus, 1967 Riverside Drive Ottawa ON K1H 7W9
Peterborough Regional Health Centre, 1 Hospital Drive Peterborough ON K9J 7C6
Thunder Bay Regional Health Sciences Centre, 980 Oliver Road Thunder Bay ON P7B 6V4
Humber River Hospital, 1235 Wilson Ave Toronto ON M3M 0B2
North York General Hospital, 4001 Leslie Street Toronto ON M2K 1E1
St. Michael's Hospital, 30 Bond Street Toronto ON M5B 1W8
St. Joseph's Health Centre, 30 The Queensway Toronto ON M6R 1B5
Hospital for Sick Children, 555 University Avenue Toronto ON M5G 1X8
Mount Sinai Hospital, 600 University Avenue Toronto ON M5G 1X5
Toronto General Hospital, 200 Elizabeth Street Toronto ON M5G 2C4
Toronto Western Hospital, 399 Bathurst Street Toronto ON M5T 2S8
Sunnybrook Health Sciences Centre, 2075 Bayview Avenue Toronto ON M4N 3M5
Centre for Addiction and Mental Health, 1001 Queen Street West Toronto ON M6J 1H4
Scarborough General Hospital, 3050 Lawrence Ave East Toronto ON M1P 2V5
Joseph Brant Hospital, 1230 North Shore Boulevard Burlington ON L7R 1W7
Cambridge Memorial Hospital, 700 Coronation Boulevard Cambridge ON N1R 3G2
Guelph General Hospital, 115 Delhi Street Guelph ON N1E 4J4
Hamilton General Hospital, 237 Barton Street East Hamilton ON L8L 2X2
Juravinski Hospital and Cancer Centre, 699 Concession Street Hamilton ON L8V 5C2
McMaster University Medical Centre, 1200 Main Street West Hamilton ON L8N 3Z5
McMaster Children's Hospital, 1200 Main Street West Hamilton ON L8N 3Z5
Chicopee Campus Hospital, 3570 King Street East Kitchener ON N2A 2W1
Midtown Campus Hospital, 835 King Street West Kitchener ON N2G 1G3
Queen’s Boulevard Campus Hospital, 911 Queen's Boulevard Kitchener ON N2M 1B2
University Hospital London, 375 South Street London ON N6A 4G5
Victoria Hospital London, 800 Commissioners Road East London ON N6A 5W9
Owen Sound Regional Hospital, 1800 8th Street East Owen Sound ON N4K 6M9
Bluewater Health Sarnia Site, 89 Norman Street Sarnia ON N7T 6S3
Norfolk General Hospital, 365 West Street Simcoe ON N3Y 1T7
Marotta Family Hospital, 1200 Fourth Avenue St Catharines ON L2S 0A9
Greater Niagara General Hospital, 5546 Portage Road Niagara Falls ON L2E 6X2
St Thomas-Elgin General Hospital, 189 Elm Street St Thomas ON N5R 5C4
Stratford General Hospital, 46 General Hospital Drive Stratford ON N5A 2Y6
Woodstock Hospital, 270 Riddell Street Woodstock ON N4S 6N6
